work_year,experience_level,employment_type,salary_in_usd,remote_ratio,company_location,company_size,experience_level_ord,employment_type_cat,is_full_time,fully_remote_flag,role_category,leadership_flag,company_size_ord,company_country
2020,MI,FT,79833,0,DE,L,1,FT,1,0,Data Scientist,0,2,DE
2020,SE,FT,260000,0,JP,S,2,FT,1,0,ML Engineer,0,0,JP
2020,SE,FT,109024,50,UK,M,2,FT,1,0,Data Engineer,0,1,UK
2020,MI,FT,20000,0,HN,S,1,FT,1,0,Analyst,0,0,HN
2020,SE,FT,150000,50,USA,L,2,FT,1,0,ML Engineer,0,2,USA
2020,EN,FT,72000,100,USA,L,0,FT,1,1,Analyst,0,2,USA
2020,SE,FT,190000,100,USA,S,2,FT,1,1,Data Scientist,1,0,USA
2020,MI,FT,35735,50,HU,L,1,FT,1,0,Data Scientist,0,2,HU
2020,MI,FT,135000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2020,SE,FT,125000,50,NZ,S,2,FT,1,0,Data Engineer,1,0,NZ
2020,EN,FT,51321,0,FR,S,0,FT,1,0,Data Scientist,0,0,FR
2020,MI,FT,40481,0,India,L,1,FT,1,0,Data Scientist,0,2,India
2020,EN,FT,39916,0,FR,M,0,FT,1,0,Data Scientist,0,1,FR
2020,MI,FT,87000,100,USA,L,1,FT,1,1,Analyst,1,2,USA
2020,MI,FT,85000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2020,MI,FT,8000,50,PK,L,1,FT,1,0,Analyst,0,2,PK
2020,EN,FT,41689,100,JP,S,0,FT,1,1,Data Engineer,0,0,JP
2020,SE,FT,114047,100,UK,S,2,FT,1,1,Data Engineer,0,0,UK
2020,EN,FT,5707,50,India,M,0,FT,1,0,Other,0,1,India
2020,MI,FT,56000,100,USA,M,1,FT,1,1,Data Engineer,1,1,USA
2020,MI,FT,43331,0,CN,M,1,FT,1,0,ML Engineer,0,1,CN
2020,MI,FT,6072,100,India,L,1,FT,1,1,Analyst,0,2,India
2020,SE,FT,47899,50,GR,L,2,FT,1,0,Data Engineer,0,2,GR
2020,MI,FT,98000,0,USA,M,1,FT,1,0,Analyst,0,1,USA
2020,MI,FT,115000,0,AE,L,1,FT,1,0,Data Scientist,1,2,AE
2020,EX,FT,325000,100,USA,L,3,FT,1,1,Director,1,2,USA
2020,EN,FT,42000,50,NL,L,0,FT,1,0,Research,0,2,NL
2020,SE,FT,33511,0,MX,S,2,FT,1,0,Data Engineer,0,0,MX
2020,EN,CT,100000,100,USA,L,0,CT,0,1,Analyst,0,2,USA
2020,SE,FT,117104,50,CA,L,2,FT,1,0,ML Engineer,1,2,CA
2020,MI,FT,59303,100,DE,S,1,FT,1,1,Data Engineer,1,0,DE
2020,EN,FT,70000,100,USA,L,0,FT,1,1,Data Engineer,0,2,USA
2020,SE,FT,68428,100,USA,L,2,FT,1,1,Data Scientist,0,2,USA
2020,MI,FT,450000,0,USA,M,1,FT,1,0,Research,0,1,USA
2020,MI,FT,46759,50,FR,L,1,FT,1,0,Analyst,0,2,FR
2020,MI,FT,74130,50,AT,L,1,FT,1,0,Data Engineer,0,2,AT
2020,MI,FT,103000,100,USA,L,1,FT,1,1,Other,0,2,USA
2020,EN,FT,250000,50,USA,L,0,FT,1,0,ML Engineer,0,2,USA
2020,EN,FT,10000,100,NG,S,0,FT,1,1,Analyst,0,0,NG
2020,EN,FT,138000,100,USA,S,0,FT,1,1,ML Engineer,0,0,USA
2020,MI,FT,45760,100,USA,S,1,FT,1,1,Data Scientist,0,0,USA
2020,EX,FT,79833,50,ES,L,3,FT,1,0,Data Engineer,1,2,ES
2020,MI,FT,50180,0,PT,M,1,FT,1,0,ML Engineer,0,1,PT
2020,MI,FT,106000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,112872,50,UK,L,1,FT,1,0,Data Engineer,0,2,UK
2020,EN,PT,15966,100,DE,S,0,PT,0,1,ML Engineer,0,0,DE
2020,MI,FT,76958,100,UK,S,1,FT,1,1,Data Scientist,0,0,UK
2020,SE,FT,188000,100,USA,L,2,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,105000,100,USA,L,1,FT,1,1,Data Scientist,0,2,USA
2020,MI,FT,70139,50,FR,L,1,FT,1,0,Data Engineer,0,2,FR
2020,EN,FT,6072,0,India,S,0,FT,1,0,Analyst,0,0,India
2020,EN,FT,91000,100,USA,L,0,FT,1,1,Analyst,0,2,USA
2020,EN,FT,45896,50,DK,S,0,FT,1,0,Other,0,0,DK
2020,EN,FT,54742,100,DE,L,0,FT,1,1,Data Engineer,0,2,DE
2020,SE,FL,60000,100,USA,S,2,FL,0,1,Other,0,0,USA
2020,SE,FT,148261,100,DE,M,2,FT,1,1,Data Scientist,1,1,DE
2020,MI,FT,38776,100,ES,M,1,FT,1,1,Data Scientist,0,1,ES
2020,MI,FT,118000,100,USA,M,1,FT,1,1,Data Scientist,0,1,USA
2020,SE,FT,120000,50,USA,L,2,FT,1,0,Data Scientist,0,2,USA
2020,MI,FT,138350,100,USA,M,1,FT,1,1,Data Scientist,0,1,USA
2020,MI,FT,110000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2020,MI,FT,130800,100,USA,M,1,FT,1,1,Data Engineer,0,1,USA
2020,EN,PT,21669,50,IT,S,0,PT,0,0,Data Scientist,0,0,IT
2020,SE,FT,412000,100,USA,L,2,FT,1,1,Data Scientist,0,2,USA
2020,SE,FT,45618,100,HR,S,2,FT,1,1,ML Engineer,0,0,HR
2020,EN,FT,62726,50,DE,S,0,FT,1,0,Data Scientist,0,0,DE
2020,EN,FT,49268,0,DE,S,0,FT,1,0,Data Scientist,0,0,DE
2020,SE,FT,190200,100,USA,M,2,FT,1,1,Manager,1,1,USA
2020,EN,FT,105000,100,USA,S,0,FT,1,1,Data Scientist,0,0,USA
2020,SE,FT,91237,0,AT,S,2,FT,1,0,Data Scientist,0,0,AT
2020,MI,FT,62726,50,LU,S,1,FT,1,0,Data Scientist,0,0,LU
2020,MI,FT,42197,50,FR,S,1,FT,1,0,Data Scientist,0,0,FR
2021,EN,FT,82528,50,UK,L,0,FT,1,0,Research,0,2,UK
2021,EX,FT,150000,100,USA,L,3,FT,1,1,Analyst,0,2,USA
2021,EX,FT,235000,100,USA,L,3,FT,1,1,Director,1,2,USA
2021,SE,FT,53192,50,FR,L,2,FT,1,0,Data Scientist,0,2,FR
2021,MI,FT,100000,100,USA,M,1,FT,1,1,Analyst,0,1,USA
2021,MI,PT,5409,50,India,M,1,PT,0,0,Research,0,1,India
2021,MI,CT,270000,100,USA,L,1,CT,0,1,ML Engineer,0,2,USA
2021,EN,FT,80000,100,USA,M,0,FT,1,1,Analyst,0,1,USA
2021,SE,FT,79197,100,DE,L,2,FT,1,1,Other,0,2,DE
2021,MI,FT,140000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,MI,FT,54238,50,CA,L,1,FT,1,0,Data Scientist,0,2,CA
2021,MI,FT,47282,100,ES,S,1,FT,1,1,ML Engineer,0,0,ES
2021,EX,FT,153667,100,PL,L,3,FT,1,1,Director,1,2,PL
2021,MI,FT,28476,100,PL,L,1,FT,1,1,Data Engineer,0,2,PL
2021,EN,FT,59102,50,FR,M,0,FT,1,0,Analyst,0,1,FR
2021,MI,FT,110000,100,USA,L,1,FT,1,1,Other,0,2,USA
2021,SE,FT,170000,100,USA,L,2,FT,1,1,Analyst,1,2,USA
2021,SE,FT,80000,100,USA,S,2,FT,1,1,Analyst,0,0,USA
2021,SE,FT,88654,100,DK,L,2,FT,1,1,Analyst,0,2,DK
2021,EN,FT,76833,100,DE,S,0,FT,1,1,Other,0,0,DE
2021,MI,FT,19609,100,India,L,1,FT,1,1,Analyst,1,2,India
2021,SE,FT,276000,0,USA,L,2,FT,1,0,Data Engineer,1,2,USA
2021,EN,FT,29751,50,India,L,0,FT,1,0,Data Scientist,0,2,India
2021,MI,FT,89294,50,SG,L,1,FT,1,0,Data Engineer,0,2,SG
2021,EN,PT,12000,100,USA,S,0,PT,0,1,Other,0,0,USA
2021,MI,FT,450000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2021,EN,FT,70000,100,USA,M,0,FT,1,1,Other,0,1,USA
2021,MI,FT,95746,100,USA,S,1,FT,1,1,Other,0,0,USA
2021,MI,FT,75000,0,USA,L,1,FT,1,0,Analyst,0,2,USA
2021,SE,FT,150000,100,USA,L,2,FT,1,1,Data Engineer,0,2,USA
2021,MI,FT,36259,50,USA,L,1,FT,1,0,Analyst,0,2,USA
2021,MI,FT,62000,0,USA,L,1,FT,1,0,Analyst,0,2,USA
2021,MI,FT,73000,0,USA,L,1,FT,1,0,Data Scientist,0,2,USA
2021,MI,FT,51519,50,UK,L,1,FT,1,0,Analyst,0,2,UK
2021,MI,FT,187442,100,CA,L,1,FT,1,1,Research,0,2,CA
2021,SE,FT,115000,100,USA,S,2,FT,1,1,Data Engineer,0,0,USA
2021,SE,FT,150000,100,USA,M,2,FT,1,1,Data Engineer,0,1,USA
2021,EN,FT,30428,100,India,L,0,FT,1,1,Data Engineer,0,2,India
2021,SE,FT,94564,50,DE,L,2,FT,1,0,ML Engineer,0,2,DE
2021,SE,FT,113476,100,UK,M,2,FT,1,1,Data Engineer,1,1,UK
2021,SE,FT,103160,100,UK,S,2,FT,1,1,Data Engineer,1,0,UK
2021,EN,PT,12000,100,USA,M,0,PT,0,1,Other,0,1,USA
2021,MI,FT,45391,100,NL,L,1,FT,1,1,Data Engineer,0,2,NL
2021,EN,FT,225000,100,USA,L,0,FT,1,1,ML Engineer,0,2,USA
2021,MI,FT,50000,100,NG,L,1,FT,1,1,Data Scientist,0,2,NG
2021,MI,FT,40189,100,GR,M,1,FT,1,1,Other,0,1,GR
2021,EN,FT,90000,100,USA,S,0,FT,1,1,Analyst,0,0,USA
2021,MI,FT,200000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,MI,FT,60000,50,RO,M,1,FT,1,0,Data Engineer,0,1,RO
2021,SE,FT,200000,100,USA,M,2,FT,1,1,Data Engineer,1,1,USA
2021,EN,FT,50000,100,USA,M,0,FT,1,1,Analyst,0,1,USA
2021,EN,FT,110037,0,UK,L,0,FT,1,0,Data Scientist,0,2,UK
2021,EN,PT,10354,50,ES,M,0,PT,0,0,Analyst,0,1,ES
2021,MI,FT,151000,100,USA,L,1,FT,1,1,Data Scientist,1,2,USA
2021,SE,FT,120000,50,USA,S,2,FT,1,0,ML Engineer,0,0,USA
2021,MI,FT,9466,0,India,S,1,FT,1,0,Data Scientist,0,0,India
2021,EN,FT,20000,100,India,S,0,FT,1,1,ML Engineer,0,0,India
2021,SE,FT,40570,50,India,L,2,FT,1,0,Data Scientist,1,2,India
2021,EN,FT,100000,50,IQ,S,0,FT,1,0,ML Engineer,0,0,IQ
2021,EN,FT,49646,50,FR,M,0,FT,1,0,Data Scientist,0,1,FR
2021,MI,FT,38400,100,USA,M,1,FT,1,1,ML Engineer,0,1,USA
2021,SE,FT,24000,100,BR,M,2,FT,1,1,Other,0,1,BR
2021,EN,FT,100000,0,USA,S,0,FT,1,0,Data Scientist,0,0,USA
2021,MI,FT,90000,100,USA,M,1,FT,1,1,Analyst,0,1,USA
2021,MI,FT,63711,50,JP,S,1,FT,1,0,ML Engineer,0,0,JP
2021,MI,FT,77364,50,JP,S,1,FT,1,0,ML Engineer,0,0,JP
2021,SE,FT,220000,0,USA,L,2,FT,1,0,Data Scientist,1,2,USA
2021,EN,FT,80000,100,USA,M,0,FT,1,1,Data Scientist,0,1,USA
2021,MI,FT,135000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2021,SE,FT,240000,0,USA,L,2,FT,1,0,Manager,1,2,USA
2021,SE,FT,150000,0,USA,L,2,FT,1,0,Data Engineer,1,2,USA
2021,MI,FT,82500,100,USA,S,1,FT,1,1,Data Scientist,0,0,USA
2021,MI,FT,100000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,SE,FT,82744,50,BE,M,2,FT,1,0,ML Engineer,0,1,BE
2021,MI,FT,62649,50,FR,M,1,FT,1,0,Research,0,1,FR
2021,MI,FT,90000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,SE,FT,153000,100,USA,L,2,FT,1,1,Data Engineer,1,2,USA
2021,SE,FT,160000,100,USA,S,2,FT,1,1,Data Engineer,0,0,USA
2021,SE,FT,168000,0,JP,S,2,FT,1,0,Director,1,0,JP
2021,MI,FT,150000,100,USA,M,1,FT,1,1,Data Scientist,0,1,USA
2021,MI,FT,75774,100,CA,L,1,FT,1,1,Data Scientist,0,2,CA
2021,EN,FT,13400,100,UA,L,0,FT,1,1,Data Scientist,0,2,UA
2021,SE,FT,144000,100,USA,L,2,FT,1,1,Manager,1,2,USA
2021,SE,FT,127221,50,CA,L,2,FT,1,0,Other,0,2,CA
2021,MI,FT,119059,100,IL,M,1,FT,1,1,Data Scientist,0,1,IL
2021,MI,FT,423000,50,USA,L,1,FT,1,0,ML Engineer,0,2,USA
2021,SE,FT,120000,100,USA,M,2,FT,1,1,Manager,1,1,USA
2021,EN,FT,125000,100,USA,S,0,FT,1,1,ML Engineer,0,0,USA
2021,EX,FT,230000,50,RU,L,3,FT,1,0,Director,1,2,RU
2021,EX,FT,85000,0,RU,M,3,FT,1,0,Director,1,1,RU
2021,MI,FT,28369,50,MT,L,1,FT,1,0,Data Engineer,0,2,MT
2021,EN,FT,63831,50,DE,L,0,FT,1,0,Other,0,2,DE
2021,EX,FT,130026,50,DE,M,3,FT,1,0,Director,1,1,DE
2021,SE,FT,165000,100,USA,L,2,FT,1,1,Other,0,2,USA
2021,EN,FT,80000,100,USA,L,0,FT,1,1,Data Engineer,0,2,USA
2021,EX,FT,250000,0,USA,L,3,FT,1,0,Director,1,2,USA
2021,EN,FT,55000,50,USA,S,0,FT,1,0,Analyst,0,0,USA
2021,MI,FT,150000,100,USA,L,1,FT,1,1,Architect,0,2,USA
2021,MI,FT,170000,100,USA,L,1,FT,1,1,Architect,0,2,USA
2021,MI,FT,82528,100,UK,L,1,FT,1,1,Data Engineer,0,2,UK
2021,EN,FT,60000,100,USA,S,0,FT,1,1,Analyst,0,0,USA
2021,SE,FT,235000,100,USA,L,2,FT,1,1,Data Scientist,1,2,USA
2021,SE,FT,60757,50,PT,L,2,FT,1,0,Research,0,2,PT
2021,SE,FT,174000,100,USA,L,2,FT,1,1,Data Engineer,1,2,USA
2021,MI,FT,2859,0,MX,S,1,FT,1,0,Data Scientist,0,0,MX
2021,MI,FT,40038,100,CL,L,1,FT,1,1,Data Scientist,0,2,CL
2021,EN,FT,81000,50,USA,S,0,FT,1,0,ML Engineer,0,0,USA
2021,MI,FT,5679,100,USA,S,1,FT,1,1,Data Scientist,0,0,USA
2021,MI,FT,22611,0,India,L,1,FT,1,0,Data Engineer,0,2,India
2021,MI,FT,90734,50,DE,L,1,FT,1,0,Data Scientist,0,2,DE
2021,MI,FT,26005,0,USA,L,1,FT,1,0,Data Engineer,0,2,USA
2021,SE,FT,61896,50,UK,L,2,FT,1,0,Analyst,0,2,UK
2021,MI,FL,12000,50,PK,M,1,FL,0,0,ML Engineer,0,1,PK
2021,MI,FT,4000,100,IR,M,1,FT,1,1,Data Engineer,0,1,IR
2021,SE,FT,50000,100,UK,M,2,FT,1,1,Other,0,1,UK
2021,EX,FT,69741,100,ES,S,3,FT,1,1,Other,0,0,ES
2021,SE,FT,76833,50,UK,S,2,FT,1,0,Data Engineer,0,0,UK
2021,MI,FT,74000,50,JP,S,1,FT,1,0,ML Engineer,0,0,JP
2021,SE,FT,152000,100,FR,L,2,FT,1,1,Manager,1,2,FR
2021,EN,FT,21844,50,CO,M,0,FT,1,0,ML Engineer,0,1,CO
2021,MI,FT,18000,0,MD,S,1,FT,1,0,Data Engineer,0,0,MD
2021,SE,FT,174000,100,USA,L,2,FT,1,1,Manager,1,2,USA
2021,SE,FT,96113,50,CA,L,2,FT,1,0,Research,0,2,CA
2021,MI,FT,147000,50,USA,L,1,FT,1,0,Data Scientist,0,2,USA
2021,EN,FT,9272,100,KE,S,0,FT,1,1,Analyst,0,0,KE
2021,SE,FT,24342,100,India,L,2,FT,1,1,ML Engineer,0,2,India
2021,SE,FT,54094,50,USA,L,2,FT,1,0,Manager,1,2,USA
2021,EN,FT,90000,100,USA,S,0,FT,1,1,Other,0,0,USA
2021,MI,FT,61467,50,AT,M,1,FT,1,0,Data Scientist,0,1,AT
2021,SE,FT,195000,100,USA,M,2,FT,1,1,ML Engineer,0,1,USA
2021,MI,FT,37825,100,ES,L,1,FT,1,1,Data Scientist,0,2,ES
2021,SE,FT,50000,100,USA,S,2,FT,1,1,Research,0,0,USA
2021,MI,FT,160000,100,USA,L,1,FT,1,1,Data Scientist,0,2,USA
2021,MI,FT,12901,0,BR,S,1,FT,1,0,Data Scientist,0,0,BR
2021,SE,FT,200000,100,USA,L,2,FT,1,1,ML Engineer,0,2,USA
2021,SE,FT,165000,0,USA,M,2,FT,1,0,Data Engineer,0,1,USA
2021,MI,FL,20000,0,USA,L,1,FL,0,0,Data Engineer,0,2,USA
2021,SE,FT,120000,0,USA,L,2,FT,1,0,Manager,1,2,USA
2021,MI,FT,24823,50,SI,L,1,FT,1,0,ML Engineer,0,2,SI
2021,MI,FT,56738,50,FR,S,1,FT,1,0,Research,0,0,FR
2021,MI,FT,66022,50,UK,S,1,FT,1,0,Data Engineer,0,0,UK
2021,EN,FT,5882,0,CH,L,0,FT,1,0,Data Engineer,0,2,CH
2021,EN,FT,24823,50,DE,M,0,FT,1,0,ML Engineer,0,1,DE
2021,SE,FT,185000,100,USA,L,2,FT,1,1,Data Engineer,1,2,USA
2021,EN,PT,28609,50,DK,S,0,PT,0,0,Other,0,0,DK
2021,MI,FT,90734,50,DE,L,1,FT,1,0,Data Scientist,0,2,DE
2021,MI,FT,88654,100,BE,M,1,FT,1,1,ML Engineer,0,1,BE
2021,SE,FT,140000,100,USA,L,2,FT,1,1,Manager,1,2,USA
2021,MI,FT,46597,100,PL,L,1,FT,1,1,ML Engineer,0,2,PL
2021,MI,FT,116914,50,UK,L,1,FT,1,0,Data Scientist,0,2,UK
2021,MI,FT,33808,0,India,M,1,FT,1,0,Data Scientist,0,1,India
2021,MI,FT,56256,50,UK,L,1,FT,1,0,Data Scientist,0,2,UK
2021,SE,FT,225000,100,CA,L,2,FT,1,1,ML Engineer,0,2,CA
2021,EX,CT,416000,100,USA,S,3,CT,0,1,Data Scientist,1,0,USA
2021,SE,FT,87738,100,CA,S,2,FT,1,1,Data Scientist,0,0,CA
2021,MI,FT,88654,50,DE,L,1,FT,1,0,Data Scientist,0,2,DE
2021,SE,FT,135000,0,USA,L,2,FT,1,0,Data Scientist,0,2,USA
2021,SE,FT,71786,100,CA,M,2,FT,1,1,Analyst,0,1,CA
2021,EN,FT,16228,100,India,L,0,FT,1,1,Data Engineer,0,2,India
2021,SE,FT,256000,100,USA,S,2,FT,1,1,ML Engineer,0,0,USA
2021,SE,FT,200000,100,USA,L,2,FT,1,1,Data Engineer,1,2,USA
2021,SE,FT,200000,100,USA,L,2,FT,1,1,Analyst,0,2,USA
2021,MI,FT,180000,100,USA,L,1,FT,1,1,Architect,0,2,USA
2021,MI,FT,110000,0,USA,S,1,FT,1,0,Director,1,0,USA
2021,MI,FT,63810,100,CA,M,1,FT,1,1,Research,0,1,CA
2021,MI,FT,46809,100,ES,M,1,FT,1,1,Data Scientist,0,1,ES
2021,EN,FT,4000,0,VN,M,0,FT,1,0,Data Scientist,0,1,VN
2021,EN,FT,21637,50,India,M,0,FT,1,0,Data Engineer,0,1,India
2021,SE,FT,103691,100,CA,L,2,FT,1,1,Data Scientist,0,2,CA
2021,MI,FT,80000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2021,MI,FT,110000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,SE,FT,165000,100,USA,L,2,FT,1,1,Data Scientist,0,2,USA
2021,EN,FT,18053,100,AS,S,0,FT,1,1,Other,0,0,AS
2021,MI,FT,72212,50,UK,L,1,FT,1,0,Data Engineer,0,2,UK
2021,EN,FT,36643,50,FR,L,0,FT,1,0,Data Scientist,0,2,FR
2021,MI,FT,12103,0,TR,M,1,FT,1,0,Data Engineer,0,1,TR
2021,SE,FT,96282,50,UK,L,2,FT,1,0,Data Engineer,0,2,UK
2021,SE,FT,170000,100,USA,M,2,FT,1,1,Analyst,1,1,USA
2021,MI,FT,115000,50,USA,L,1,FT,1,0,Data Scientist,0,2,USA
2021,EN,FT,90000,100,USA,S,0,FT,1,1,Data Scientist,0,0,USA
2021,EX,FT,600000,100,USA,L,3,FT,1,1,Data Engineer,1,2,USA
2021,EN,FT,28399,100,India,M,0,FT,1,1,Data Scientist,0,1,India
2021,MI,FT,93000,100,USA,L,1,FT,1,1,Analyst,0,2,USA
2021,SE,FT,99703,50,CA,M,2,FT,1,0,Data Engineer,0,1,CA
2021,MI,FT,200000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,SE,FT,173762,100,DE,M,2,FT,1,1,Data Scientist,1,1,DE
2021,SE,FT,185000,50,USA,L,2,FT,1,0,ML Engineer,0,2,USA
2021,EX,FT,141846,0,DE,L,3,FT,1,0,Director,1,2,DE
2021,MI,FT,130000,50,USA,L,1,FT,1,0,Data Scientist,0,2,USA
2021,SE,FT,63831,50,DE,L,2,FT,1,0,Analyst,0,2,DE
2021,MI,FT,16904,100,India,S,1,FT,1,1,Data Scientist,0,0,India
2021,SE,FT,66265,0,India,L,2,FT,1,0,ML Engineer,0,2,India
2021,MI,FT,25532,100,DE,S,1,FT,1,1,Data Scientist,0,0,DE
2021,SE,FT,160000,50,USA,S,2,FT,1,0,Data Engineer,1,0,USA
2021,MI,FT,93150,0,USA,M,1,FT,1,0,Data Engineer,0,1,USA
2021,MI,FT,111775,0,USA,M,1,FT,1,0,Data Engineer,0,1,USA
2021,MI,FT,28016,100,TR,M,1,FT,1,1,Data Engineer,0,1,TR
2021,EN,FT,65013,50,DE,M,0,FT,1,0,Data Engineer,0,1,DE
2021,EN,FT,72500,100,USA,L,0,FT,1,1,Data Engineer,0,2,USA
2021,SE,FT,18907,0,BR,M,2,FT,1,0,Other,0,1,BR
2021,EN,FT,76833,0,DE,L,0,FT,1,0,Other,0,2,DE
2021,EN,FT,85000,100,DE,S,0,FT,1,1,ML Engineer,0,0,DE
2021,SE,FT,77684,50,FR,M,2,FT,1,0,Data Scientist,0,1,FR
2021,EN,FT,100000,100,USA,M,0,FT,1,1,Data Scientist,0,1,USA
2021,EN,FT,58000,50,USA,L,0,FT,1,0,Data Scientist,0,2,USA
2021,SE,FT,55000,100,ES,L,2,FT,1,1,Other,0,2,ES
2021,SE,FT,20171,50,TR,L,2,FT,1,0,Data Scientist,0,2,TR
2021,EN,FT,59102,100,LU,L,0,FT,1,1,Analyst,0,2,LU
2021,MI,FT,112000,100,USA,L,1,FT,1,1,Data Engineer,0,2,USA
2021,EN,FT,100000,0,CN,L,0,FT,1,0,Research,0,2,CN
2021,MI,PT,69741,100,NL,L,1,PT,0,1,Data Engineer,0,2,NL
2021,SE,CT,105000,100,USA,M,2,CT,0,1,Data Scientist,1,1,USA
2021,MI,FT,69999,50,CZ,L,1,FT,1,0,Research,0,2,CZ
2021,SE,FT,94665,50,India,L,2,FT,1,0,Manager,1,2,India
2021,SE,FT,102839,100,SI,L,2,FT,1,1,Director,1,2,SI
2021,MI,FT,109000,50,USA,L,1,FT,1,0,Data Scientist,0,2,USA
2021,MI,FT,51064,50,IT,L,1,FT,1,0,ML Engineer,0,2,IT
2022,SE,FT,135000,100,USA,M,2,FT,1,1,Data Engineer,0,1,USA
2022,SE,FT,155000,100,USA,M,2,FT,1,1,Analyst,0,1,USA
2022,SE,FT,120600,100,USA,M,2,FT,1,1,Analyst,0,1,USA
2022,MI,FT,130000,0,USA,M,1,FT,1,0,Data Scientist,0,1,USA
2022,MI,FT,90000,0,USA,M,1,FT,1,0,Data Scientist,0,1,USA
2022,MI,FT,170000,100,USA,M,1,FT,1,1,Data Engineer,0,1,USA
2022,MI,FT,150000,100,USA,M,1,FT,1,1,Data Engineer,0,1,USA
2022,SE,FT,102100,100,USA,M,2,FT,1,1,Analyst,0,1,USA
2022,SE,FT,84900,100,USA,M,2,FT,1,1,Analyst,0,1,USA
2022,SE,FT,136620,100,USA,M,2,FT,1,1,Data Scientist,0,1,USA
2022,SE,FT,99360,100,USA,M,2,FT,1,1,Data Scientist,0,1,USA
2022,SE,FT,117789,0,UK,M,2,FT,1,0,Data Scientist,0,1,UK
2022,SE,FT,104702,0,UK,M,2,FT,1,0,Data Scientist,0,1,UK
